trade_date,total_pnl,num_trades,avg_pnl,win_rate,total_volume_usd,avg_trade_size,total_abs_pnl,value,classification,sentiment_category,long_short_ratio_x,avg_leverage,total_fees,gross_profit,gross_loss,profit_factor,high_leverage_pct,long_short_ratio_y,long_pct,sentiment_group,fear_greed_level
2024-12-15,102.62,20,5.13,0.1,48930.06,2446.5,102.62,80,Extreme Greed,Extreme Greed,,0,,102.61591,0.0,102615.91,0,1.2222222222222223,55.00000000000001,Greed,Extreme Greed (76-100)
2024-12-16,3.27,24,0.14,0.04,163104.13,6796.01,3.27,83,Extreme Greed,Extreme Greed,,0,,3.2706,0.0,3270.6,0,0.14285714285714285,12.5,Greed,Extreme Greed (76-100)
2024-12-17,0.0,10,0.0,0.0,33902.45,3390.24,0.0,87,Extreme Greed,Extreme Greed,,0,,0.0,0.0,0.0,0,0.0,0.0,Greed,Extreme Greed (76-100)
2024-12-18,37.91,25,1.52,0.24,56717.49,2268.7,54.66,81,Extreme Greed,Extreme Greed,,0,,46.280879,8.374743,5.526244685956333,0,0.5625,36.0,Greed,Extreme Greed (76-100)
2024-12-19,78.34,30,2.61,0.3,103009.75,3433.66,78.34,75,Extreme Greed,Greed,,0,,78.336701,0.0,78336.701,0,2.3333333333333335,70.0,Greed,Greed (56-75)
2024-12-20,1086.34,24,45.26,0.25,119772.68,4990.53,1086.34,74,Greed,Greed,,0,,1086.3438489999999,0.0,1086343.849,0,0.3333333333333333,25.0,Greed,Greed (56-75)
2024-12-21,76.95,7,10.99,0.57,2060.62,294.37,76.95,73,Greed,Greed,,0,,76.945863,0.0,76945.863,0,0.75,42.857142857142854,Greed,Greed (56-75)
2024-12-22,1405.0,4,351.25,0.5,7105.51,1776.38,1405.0,73,Greed,Greed,,0,,1405.000013,0.0,1405000.013,0,3.0,75.0,Greed,Greed (56-75)
2024-12-23,-21.98,20,-1.1,0.0,52352.56,2617.63,21.98,70,Greed,Greed,,0,,0.0,21.98467,0.0,0,0.25,20.0,Greed,Greed (56-75)
2024-12-25,19.67,3,6.56,0.33,28882.36,9627.45,19.67,73,Greed,Greed,,0,,19.672695,0.0,19672.695,0,0.5,33.33333333333333,Greed,Greed (56-75)
2024-12-26,53.41,3,17.8,0.67,1712.64,570.88,53.41,79,Extreme Greed,Extreme Greed,,0,,53.405546,0.0,53405.546,0,2.0,66.66666666666666,Greed,Extreme Greed (76-100)
2024-12-27,1.53,3,0.51,0.33,384.16,128.05,1.53,74,Greed,Greed,,0,,1.528005,0.0,1528.005,0,0.5,33.33333333333333,Greed,Greed (56-75)
2024-12-28,0.0,14,0.0,0.0,49835.38,3559.67,0.0,72,Greed,Greed,,0,,0.0,0.0,0.0,0,0.0,0.0,Greed,Greed (56-75)
2024-12-29,0.0,5,0.0,0.0,2082.76,416.55,0.0,73,Greed,Greed,,0,,0.0,0.0,0.0,0,0.0,0.0,Greed,Greed (56-75)
2024-12-30,6.74,11,0.61,0.09,27391.07,2490.1,6.74,65,Greed,Greed,,0,,6.737704,0.0,6737.704,0,0.1,9.090909090909092,Greed,Greed (56-75)
2024-12-31,0.0,2,0.0,0.0,9265.2,4632.6,0.0,64,Greed,Greed,,0,,0.0,0.0,0.0,0,2.0,100.0,Greed,Greed (56-75)
2025-01-02,1.7,4,0.42,0.25,40448.34,10112.08,1.7,70,Greed,Greed,,0,,1.6984,0.0,1698.3999999999999,0,1.0,50.0,Greed,Greed (56-75)
2025-01-03,0.0,3,0.0,0.0,3828.11,1276.04,0.0,74,Greed,Greed,,0,,0.0,0.0,0.0,0,0.0,0.0,Greed,Greed (56-75)
2025-01-05,528.24,4,132.06,0.25,82466.11,20616.53,528.24,72,Greed,Greed,,0,,528.237435,0.0,528237.4349999999,0,0.0,0.0,Greed,Greed (56-75)
2025-01-06,1362.62,11,123.87,0.18,74106.84,6736.99,1362.62,76,Extreme Greed,Extreme Greed,,0,,1362.6158050000001,0.0,1362615.8050000002,0,0.0,0.0,Greed,Extreme Greed (76-100)
2025-01-07,34.12,5,6.82,0.6,8234.11,1646.82,34.12,78,Extreme Greed,Extreme Greed,,0,,34.11674,0.0,34116.74,0,5.0,100.0,Greed,Extreme Greed (76-100)
2025-01-08,132.02,5,26.4,0.6,4838.93,967.79,132.02,70,Greed,Greed,,0,,132.017096,0.0,132017.09600000002,0,4.0,80.0,Greed,Greed (56-75)
2025-01-09,0.0,1,0.0,0.0,221.89,221.89,0.0,69,Greed,Greed,,0,,0.0,0.0,0.0,0,0.0,0.0,Greed,Greed (56-75)
2025-01-10,0.12,4,0.03,0.25,4687.4,1171.85,0.12,50,Neutral,Neutral,,0,,0.11855,0.0,118.55,0,1.0,50.0,Neutral,Neutral (46-55)
2025-01-11,113.11,2,56.56,1.0,71517.61,35758.8,113.11,69,Greed,Greed,,0,,113.111128,0.0,113111.128,0,0.0,0.0,Greed,Greed (56-75)
2025-01-12,7.16,1,7.16,1.0,2500.01,2500.01,7.16,62,Greed,Greed,,0,,7.161037,0.0,7161.037,0,0.0,0.0,Greed,Greed (56-75)
2025-01-13,297.0,1,297.0,1.0,11198.23,11198.23,297.0,61,Greed,Greed,,0,,297.00462,0.0,297004.62,0,0.0,0.0,Greed,Greed (56-75)
2025-01-14,16.9,2,8.45,0.5,869.65,434.82,16.9,63,Greed,Greed,,0,,16.895968,0.0,16895.968,0,2.0,100.0,Greed,Greed (56-75)
2025-01-16,578.17,5,115.63,0.4,100776.07,20155.21,578.92,75,Extreme Greed,Greed,,0,,578.5469400000001,0.3725,1553.146147651007,0,1.5,60.0,Greed,Greed (56-75)
2025-01-17,19.26,1,19.26,1.0,344.83,344.83,19.26,75,Extreme Greed,Greed,,0,,19.26106,0.0,19261.06,0,1.0,100.0,Greed,Greed (56-75)
2025-01-18,18.77,4,4.69,0.75,4004.9,1001.22,18.77,77,Extreme Greed,Extreme Greed,,0,,18.767569,0.0,18767.569000000003,0,1.0,50.0,Greed,Extreme Greed (76-100)
2025-01-19,59.32,18,3.3,0.22,405819.15,22545.51,119.01,77,Extreme Greed,Extreme Greed,,0,,89.16850199999999,29.844739999999998,2.987745981368911,0,0.38461538461538464,27.77777777777778,Greed,Extreme Greed (76-100)
2025-01-20,5148.12,13,396.01,0.54,135071.43,10390.11,5161.67,76,Extreme Greed,Extreme Greed,,0,,5154.896028,6.77655,760.6962286119043,0,1.1666666666666667,53.84615384615385,Greed,Extreme Greed (76-100)
2025-01-21,230.02,5,46.0,0.6,102131.84,20426.37,230.02,76,Extreme Greed,Extreme Greed,,0,,230.018246,0.0,230018.246,0,0.25,20.0,Greed,Extreme Greed (76-100)
2025-01-22,23.91,4,5.98,0.25,3481.79,870.45,23.91,84,Extreme Greed,Extreme Greed,,0,,23.91147,0.0,23911.47,0,0.0,0.0,Greed,Extreme Greed (76-100)
2025-01-23,475.75,7,67.96,0.57,12800.93,1828.7,548.16,75,Extreme Greed,Greed,,0,,511.951139,36.204875,14.140392391908549,0,2.5,71.42857142857143,Greed,Greed (56-75)
2025-01-24,80.7,8,10.09,0.62,6562.25,820.28,80.7,75,Extreme Greed,Greed,,0,,80.698624,0.0,80698.624,0,0.3333333333333333,25.0,Greed,Greed (56-75)
